"날짜","종가","오픈","고가","저가","변동 %"
"2021년 05월 12일","1,367.32","1,360.28","1,368.94","1,358.42","0.63%"
"2021년 05월 11일","1,358.76","1,354.71","1,365.44","1,353.27","0.32%"
"2021년 05월 10일","1,354.42","1,353.48","1,358.13","1,351.36","0.21%"
"2021년 05월 07일","1,351.59","1,351.94","1,357.65","1,349.32","0.01%"
"2021년 05월 06일","1,351.51","1,350.58","1,355.83","1,348.49","0.09%"
"2021년 05월 05일","1,350.27","1,352.82","1,354.83","1,348.49","-0.16%"
"2021년 05월 04일","1,352.39","1,351.66","1,356.48","1,347.67","0.09%"
"2021년 05월 03일","1,351.24","1,344.77","1,356.01","1,341.95","0.64%"
"2021년 04월 30일","1,342.60","1,342.21","1,349.08","1,341.04","0.03%"
"2021년 04월 29일","1,342.23","1,346.06","1,347.92","1,340.80","-0.24%"
"2021년 04월 28일","1,345.51","1,346.24","1,348.01","1,341.11","-0.03%"
"2021년 04월 27일","1,345.90","1,341.52","1,347.10","1,338.32","0.36%"
"2021년 04월 26일","1,341.11","1,348.58","1,351.07","1,339.72","-0.56%"
"2021년 04월 23일","1,348.70","1,346.01","1,350.97","1,342.34","0.33%"
"2021년 04월 22일","1,344.23","1,343.95","1,348.92","1,341.73","0.06%"
"2021년 04월 21일","1,343.42","1,345.08","1,347.33","1,341.38","-0.07%"
"2021년 04월 20일","1,344.42","1,342.52","1,347.55","1,338.81","0.17%"
"2021년 04월 19일","1,342.08","1,338.19","1,343.95","1,331.80","0.31%"
"2021년 04월 16일","1,337.90","1,336.54","1,341.11","1,332.43","0.13%"
"2021년 04월 15일","1,336.11","1,337.28","1,340.87","1,332.78","-0.05%"
"2021년 04월 14일","1,336.84","1,340.03","1,343.61","1,330.53","-0.21%"
"2021년 04월 13일","1,339.70","1,340.26","1,342.24","1,335.08","0.06%"
"2021년 04월 12일","1,338.95","1,333.11","1,341.92","1,332.87","0.37%"
